"Date","Time","Cloud Condition","Rain Condition","Brightness Condition","Cloud Value","Cloud Sensor Temperature","Rain Value","Brightness Value","Ambient Temperature","Rain Heating Percentage","Rain Sensor Temperature","Heating Status","Switch Status","Read Cycle","Timeout Errors","Safe Status","Wind Condition","Wind Value","Rel hum Condition","RH Value"
"2020-06-30","12:57:07","Overcast","Dry","Very light","4.4","32.4","4608","1","32.4","10%","37.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","31%"
"2020-06-30","13:02:07","Overcast","Dry","Very light","3.9","32.6","4608","1","32.6","10%","37.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","30%"
"2020-06-30","13:07:10","Overcast","Dry","Very light","4.0","33.0","4607","1","33.0","10%","38.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","30%"
"2020-06-30","13:12:12","Overcast","Dry","Very light","4.0","33.4","4608","1","33.4","10%","38.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","28%"
"2020-06-30","13:17:08","Overcast","Dry","Very light","3.9","33.5","4608","1","33.5","10%","38.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","29%"
"2020-06-30","13:22:11","Overcast","Dry","Very light","4.2","33.7","4608","1","33.7","10%","38.2","","Closed","5","0","Unsafe","Calm","0.0","Dry","29%"
"2020-06-30","13:27:07","Overcast","Dry","Very light","3.9","33.9","4608","1","33.9","10%","39.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","29%"
"2020-06-30","13:32:09","Overcast","Dry","Very light","3.9","33.6","4608","1","33.6","10%","38.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","26%"
"2020-06-30","13:37:09","Overcast","Dry","Very light","4.0","34.0","4608","1","34.0","10%","39.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","27%"
"2020-06-30","13:42:08","Overcast","Dry","Very light","3.8","34.3","4608","1","34.3","10%","39.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","25%"
"2020-06-30","13:47:08","Overcast","Dry","Very light","3.9","34.6","4608","1","34.6","10%","39.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","25%"
"2020-06-30","13:52:11","Overcast","Dry","Very light","3.7","34.6","4608","1","34.6","10%","39.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","24%"
"2020-06-30","13:57:10","Overcast","Dry","Very light","4.2","34.9","4608","1","34.9","10%","39.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","24%"
"2020-06-30","14:02:09","Overcast","Dry","Very light","4.4","34.9","4608","1","34.9","10%","40.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","25%"
"2020-06-30","14:07:09","Overcast","Dry","Very light","4.8","35.0","4608","1","35.0","10%","40.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","25%"
"2020-06-30","14:12:11","Overcast","Dry","Very light","4.6","35.0","4608","1","35.0","10%","40.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","22%"
"2020-06-30","14:17:13","Overcast","Dry","Very light","4.4","35.2","4608","1","35.2","10%","40.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","22%"
"2020-06-30","14:22:08","Overcast","Dry","Very light","4.6","35.3","4608","1","35.3","10%","40.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","22%"
"2020-06-30","14:27:10","Overcast","Dry","Very light","4.1","35.5","4608","1","35.5","10%","40.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","23%"
"2020-06-30","14:32:11","Overcast","Dry","Very light","4.1","35.6","4608","1","35.6","10%","40.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","22%"
"2020-06-30","14:37:10","Overcast","Dry","Very light","3.8","35.7","4608","1","35.7","10%","40.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","20%"
"2020-06-30","14:42:09","Overcast","Dry","Very light","4.2","35.6","4608","1","35.6","10%","40.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","19%"
"2020-06-30","14:47:07","Overcast","Dry","Very light","4.3","35.4","4608","1","35.4","10%","40.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","21%"
"2020-06-30","14:52:07","Overcast","Dry","Very light","4.1","35.4","4608","1","35.4","10%","39.6","","Closed","5","0","Unsafe","Calm","0.0","Dry","19%"
"2020-06-30","14:57:09","Overcast","Dry","Very light","4.5","35.2","4608","1","35.2","10%","39.8","","Closed","5","0","Unsafe","Calm","0.0","Dry","19%"
"2020-06-30","15:02:10","Overcast","Dry","Very light","5.1","35.5","4608","1","35.5","10%","40.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","21%"
"2020-06-30","15:07:09","Overcast","Dry","Very light","4.9","35.7","4608","1","35.7","10%","40.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","22%"
"2020-06-30","15:12:09","Overcast","Dry","Very light","6.4","39.0","4583","1","39.0","10%","44.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","15%"
"2020-06-30","15:17:07","Overcast","Dry","Very light","4.2","41.6","4479","1","41.6","10%","47.0","","Closed","5","0","Unsafe","Calm","0.0","Dry","13%"
